Date,Time,Task,Type
31-05-2025,09:34 PM,MSME,Work
31-05-2025,10:11 PM,MSME,Break
01-06-2025,07:18 PM,Startup,MSME,Work,25
01-06-2025,07:55 PM,,,Break,5
01-06-2025,08:23 PM,,,Break,5
01-06-2025,08:43 PM,,,Break,5
01-06-2025,09:19 PM,,,Break,5
01-06-2025,09:50 PM,Startup,MSME,Work,25
01-06-2025,09:55 PM,,,Break,5
02-06-2025,12:51 PM,Learning,ISRO,Work,25
02-06-2025,02:17 PM,Startup,MSME,Work,25
02-06-2025,02:25 PM,,,Break,5
02-06-2025,04:17 PM,Startup,MSME,Work,25
02-06-2025,05:14 PM,Startup,MSME,Work,25
02-06-2025,06:34 PM,Exam Preparation,ISRO,Work,25
